Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Albemarle District Jail,-18115,Internal Combustion,1.1,NA,NA,10342,NA,NA,10717.5,NA,Oil,#VALUE!
Alexandria/Arlington RRF,-1458,Steam Turbine,29,160317,63.11,21003.03,2047292.96,21882017.36,1320091.4,25249401.72,Biomass,149.2624632
Allegheny 5,-87130,Hydraulic Turbine,10,35702,40.76,NA,496306.16,0,166089.69,662395.85,Water,13.90135455
Allegheny 5,-87129,Hydraulic Turbine,10,35702,40.76,NA,496306.16,0,166089.69,662395.85,Water,13.90135455
Allegheny 6,-87147,Hydraulic Turbine,12,38322,36.46,NA,535446.48,0,178619.88,714066.36,Water,13.97229998
Allegheny 6,-87146,Hydraulic Turbine,12,38322,36.46,NA,535446.48,0,178619.88,714066.36,Water,13.97229998
"Allegheny Energy 3, 4 and 5",-50144,Combined Cycle,550,3830185,79.5,7172.28,2612535.12,46685377.96,5511181.97,54809095.04,Gas,12.87089607
Allegheny Energy Units 1 and 2,-50138,Gas Turbine,88,56100,7.28,10433.57,142742.32,994716.66,317129.14,1454588.12,Gas,20.27556114
Allegheny Energy Units 12 & 13,-50142,Gas Turbine,88,85145,11.05,10288.43,155596.5,1272038.56,311037.69,1738672.74,Gas,16.76710388
Allegheny Energy Units 8 and 9,-50140,Gas Turbine,88,33873,4.39,9989.52,129986.17,575045.32,314083.41,1019114.9,Gas,20.81396658
Allegheny Ridge Wind Farm,-98923,Wind Turbine,80,188143,26.85,NA,529425.3,0,1581249.45,2110674.75,Wind,2.813951622
Allentown,-93179,Gas Turbine,62,789,0.15,16166.03,122718.94,154441.03,335293.06,612453.03,Oil,351.2800634
Allenwood (PPLRE Lycoming County Landfill Project),-99246,Internal Combustion,3.2,25104,89.55,10738.73,331708.71,962050.18,40260.47,1334019.36,Biomass,51.53596598
Alpha Ridge Landfill,-20731,Internal Combustion,1,4933,56.31,9635.31,55139.88,174410.6,11241.41,240791.89,Biomass,46.53364687
Altair ALTI-ESS Battery Storage,-94991,Other,1.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Altairnano PJM Li-ion Battery Storage Project,-94997,Other,1,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Altavista,-1508,Steam Turbine,51,268695,60.14,14296.82,81743,25738702.46,66139,25886584.46,Biomass,96.09574224
Amazon Solar Farm US East (Eastern Shore),-99683,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Amazon Web Services Wind Farm (Fowler Ridge IV Wind Farm),-102271,Wind Turbine,149.5,NA,NA,NA,NA,NA,273468.09,NA,Wind,#VALUE!
Amazon Web Services Wind Farm (Fowler Ridge IV Wind Farm),-89940,Wind Turbine,149.5,NA,NA,NA,NA,NA,273468.09,NA,Wind,#VALUE!
Amelia Landfill,-90854,Internal Combustion,14.4,39444,31.27,11153.86,548495.48,1872966.92,180847.27,2602309.67,Biomass,61.38987932
Amelia Landfill,-90853,Internal Combustion,14.4,39444,31.27,11153.86,548495.48,1872966.92,180847.27,2602309.67,Biomass,61.38987932
Ameresco (CSWMC) Landfill - Sandtown,-11982,Internal Combustion,5,30756,70.22,11436.92,410652.81,1314567.8,60105.19,1785325.8,Biomass,56.09379015
Ameresco (SSWMC) Landfill,-11983,Internal Combustion,5,29650,67.69,11129.88,397934.91,1291617.6,60105.19,1749657.7,Biomass,56.98322125
American Eagle Paper Mills,-16668,Steam Turbine,17.1,34350,22.93,5779.18,308914.26,594155.56,224405.63,1127475.44,Coal,26.29024221
AMP Fremont Energy Center,-77829,Combined Cycle,734.6,2242326,34.85,11030.62,2979057.79,71944151.07,6315518.12,81238726.98,Gas,33.41316511
AMP Fremont Energy Center,-77828,Combined Cycle,734.6,2242326,34.85,11030.62,2979057.79,71944151.07,6315518.12,81238726.98,Gas,33.41316511
AMP Napoleon Solar Facility,-37876,Solar,3.5,5111,16.67,NA,0,0,92523.63,92523.63,Solar,0
Anadarko IC,-1537,Internal Combustion,7.8,88,0.13,11511.37,44952.17,12196.38,60006.1,117154.65,Oil,649.4153409
Anderson,-1545,Gas Turbine,174,10772,0.71,12628.02,219997.23,388348.14,600746.8,1209092.17,Gas,56.47469087
